1673459593, 0B200081, 1101, 3
1673459593, 0B200080, 13701, 3
1673459593, 0B200080, 4701, 3
1673459593, 0B200082, 10, 1
1673459593, 0B200087, 200, 2
1673459594, 0B200081, 16301, 3
1673459594, 0B200081, 1101, 3
1673459594, 0B200080, 13701, 3
1673459594, 0B200080, 4801, 3
1673459594, 0B200082, 10, 1
1673459594, 0B200087, 200, 2
1673459595, 0B200081, 16301, 3
1673459595, 0B200081, 1101, 3
1673459595, 0B200080, 13701, 3
1673459595, 0B200080, 4901, 3
1673459595, 0B200082, 10, 1
1673459595, 0B200087, 200, 2
1673459596, 0B200081, 16301, 3
1673459596, 0B200081, 1101, 3
1673459596, 0B200080, 13701, 3
1673459596, 0B200080, 4801, 3
1673459596, 0B200082, 10, 1
1673459596, 0B200087, 200, 2
1673459597, 0B200081, 16301, 3
1673459597, 0B200081, 1101, 3
1673459597, 0B200080, 13801, 3
1673459597, 0B200080, 4801, 3
1673459597, 0B200082, 10, 1
1673459597, 0B200087, 200, 2
1673459598, 0B200081, 16301, 3
1673459598, 0B200081, 1101, 3
1673459598, 0B200080, 13701, 3
1673459598, 0B200080, 4901, 3
1673459598, 0B200082, 10, 1
1673459598, 0B200087, 200, 2
1673459599, 0B200081, 16301, 3
1673459599, 0B200081, 1101, 3
1673459599, 0B200080, 13801, 3
1673459599, 0B200080, 4901, 3
1673459599, 0B200082, 10, 1
1673459599, 0B200087, 200, 2
1673459600, 0B200081, 16301, 3
1673459600, 0B200081, 1101, 3
1673459600, 0B200080, 13701, 3
1673459600, 0B200080, 4901, 3
1673459600, 0B200082, 10, 1
1673459600, 0B200087, 200, 2
1673459601, 0B200081, 16301, 3
1673459601, 0B200081, 1101, 3
1673459601, 0B200080, 13601, 3
1673459601, 0B200080, 4a01, 3
1673459601, 0B200082, 10, 1
1673459601, 0B200087, 200, 2
1673459602, 0B200081, 16301, 3
1673459602, 0B200081, 1101, 3
1673459602, 0B200080, 13601, 3
1673459602, 0B200080, 4801, 3
1673459602, 0B200082, 10, 1
1673459602, 0B200087, 200, 2
1673459603, 0B200081, 16301, 3
1673459603, 0B200081, 1101, 3
1673459603, 0B200080, 13501, 3
1673459603, 0B200080, 4801, 3
1673459603, 0B200082, 10, 1
1673459603, 0B200087, 200, 2
1673459604, 0B200081, 16301, 3
1673459604, 0B200081, 1101, 3
1673459604, 0B200080, 13501, 3
1673459604, 0B200080, 4801, 3
1673459604, 0B200082, 10, 1
1673459604, 0B200087, 200, 2
1673459605, 0B200081, 16301, 3
1673459605, 0B200081, 1101, 3
1673459605, 0B200080, 13801, 3
1673459605, 0B200080, 4a01, 3
1673459605, 0B200082, 10, 1
1673459605, 0B200087, 200, 2
1673459606, 0B200081, 16301, 3
1673459606, 0B200081, 1101, 3
1673459606, 0B200080, 13701, 3
1673459606, 0B200080, 4901, 3
1673459606, 0B200082, 10, 1
1673459606, 0B200087, 200, 2
1673459607, 0B200081, 16301, 3
1673459607, 0B200081, 1101, 3
1673459607, 0B200080, 13901, 3
1673459607, 0B200080, 4901, 3
1673459607, 0B200082, 10, 1
1673459607, 0B200087, 200, 2
1673459608, 0B200081, 16301, 3
1673459608, 0B200081, 1101, 3
1673459608, 0B200080, 13a01, 3
1673459608, 0B200080, 4901, 3
1673459608, 0B200082, 10, 1
1673459608, 0B200087, 200, 2
1673459609, 0B200081, 16301, 3
1673459609, 0B200081, 1101, 3
1673459609, 0B200080, 13801, 3
1673459609, 0B200080, 4901, 3
1673459609, 0B200082, 10, 1
1673459609, 0B200087, 200, 2
1673459610, 0B200081, 16301, 3
1673459610, 0B200081, 1101, 3
1673459610, 0B200080, 13801, 3
1673459610, 0B200080, 4a01, 3
1673459610, 0B200082, 10, 1
1673459610, 0B200087, 200, 2
1673459611, 0B200081, 16301, 3
1673459611, 0B200081, 1101, 3
1673459611, 0B200080, 13801, 3
1673459611, 0B200080, 4901, 3
1673459611, 0B200082, 10, 1
1673459611, 0B200087, 200, 2
1673459612, 0B200081, 16301, 3
1673459612, 0B200081, 1101, 3
1673459612, 0B200080, 13701, 3
1673459612, 0B200080, 4901, 3
1673459612, 0B200082, 10, 1
1673459612, 0B200087, 200, 2
1673459613, 0B200081, 16301, 3
1673459613, 0B200081, 1101, 3
1673459613, 0B200080, 13701, 3
1673459613, 0B200080, 4801, 3
1673459613, 0B200082, 10, 1
1673459613, 0B200087, 200, 2
1673459614, 0B200081, 16301, 3
1673459614, 0B200081, 1101, 3
1673459614, 0B200080, 13701, 3
1673459614, 0B200080, 4801, 3
1673459614, 0B200082, 10, 1
1673459614, 0B200087, 200, 2
1673459615, 0B200081, 16301, 3
1673459615, 0B200081, 1101, 3
1673459615, 0B200080, 13901, 3
1673459615, 0B200080, 4a01, 3
1673459615, 0B200082, 10, 1
1673459615, 0B200087, 200, 2
1673459616, 0B200081, 16301, 3
1673459616, 0B200081, 1101, 3
1673459616, 0B200080, 13701, 3
1673459616, 0B200080, 4701, 3
1673459616, 0B200082, 10, 1
1673459616, 0B200087, 200, 2
1673459617, 0B200081, 16301, 3
1673459617, 0B200081, 1101, 3
1673459617, 0B200080, 13701, 3
1673459617, 0B200080, 4901, 3
1673459617, 0B200082, 10, 1
1673459617, 0B200087, 200, 2
1673459618, 0B200081, 16301, 3
1673459618, 0B200081, 1101, 3
1673459618, 0B200080, 13601, 3
1673459618, 0B200080, 4801, 3
1673459618, 0B200082, 10, 1
1673459618, 0B200087, 200, 2
1673459619, 0B200081, 16301, 3
1673459619, 0B200081, 1101, 3
1673459619, 0B200080, 13701, 3
1673459619, 0B200080, 4901, 3
1673459619, 0B200082, 10, 1
1673459619, 0B200087, 200, 2
1673459620, 0B200081, 16301, 3
1673459620, 0B200081, 1101, 3
1673459620, 0B200080, 13801, 3
1673459620, 0B200080, 4901, 3
1673459620, 0B200082, 10, 1
